DOCULECT,GLOSS,IPA
YandaDom,"catch, take hold of (sth)",ib+o
YornoSo,"catch, take hold of (sth)",a+a
BankanTey,"receive, accept, take (sth given)",aw
BenTey,"receive, accept, take (sth given)",a+wu
Bunoge,"receive, accept, take (sth given)",ʔab+e
DogulDomKundialang,"receive, accept, take (sth given)",ab+e
DonnoSo,"receive, accept, take (sth given)",yab+a
JamsayGourou,"receive, accept, take (sth given)",yɔw+ɔ
JamsayDouentza,"receive, accept, take (sth given)",yɔw+ɔ
JamsayMondoro,"receive, accept, take (sth given)",yɔw+ɔ
Mombo,"receive, accept, take (sth given)",ab+e
BonduSoNajamba,"receive, accept, take (sth given)",ab+e
Nanga,"receive, accept, take (sth given)",aw+a
Penange,"receive, accept, take (sth given)",ab+e
PergeTegu,"receive, accept, take (sth given)",aw+a
TebulUre,"receive, accept, take (sth given)",bɛɛd+ɛ
TebulUre,"receive, accept, take (sth given)",ab+a
Tiranige,"receive, accept, take (sth given)",aw+o
Tiranige,"receive, accept, take (sth given)",ab+o
TogoKan,"receive, accept, take (sth given)",yɔw+ɔ
TogoKan,"receive, accept, take (sth given)",yɔ+ɔ
TommoSoTongoTongo,"receive, accept, take (sth given)",yab+a
ToroTegu,"receive, accept, take (sth given)",ba
YandaDom,"receive, accept, take (sth given)",ab+e
YandaDom,"receive, accept, take (sth given)",abiy+ɛ
YornoSo,"receive, accept, take (sth given)",yab+a
BankanTey,have,yas+o
BenTey,have,yas+o
DogulDomKundialang,have,yej+o
DogulDomKundialang,have,jo
DonnoSo,have,yis+ɛ
JamsayGourou,have,yɛs+a
JamsayDouentza,have,sa
Mombo,have,sa+a
BonduSoNajamba,have,jog+o
Nanga,have,yas+o
PergeTegu,have,yas+a
TebulUre,have,yes+ɔ
Tiranige,have,sa
TogoKan,have,sa
TommoSoTongoTongo,have,s+ɛ
ToroTegu,have,sa
YandaDom,have,zo
YandaDom,have,yaz+o
BankanTey,"tea-making gear (burner, kettle, etc.)",atey+gɔn
BenTey,"tea-making gear (burner, kettle, etc.)",ateenii+njɛ
Bunoge,"tea-making gear (burner, kettle, etc.)",ʔate+gol+le+ge
DogulDomKundialang,"tea-making gear (burner, kettle, etc.)",teege+l+ge
DonnoSo,"tea-making gear (burner, kettle, etc.)",teege+lu
JamsayDouentza,"tea-making gear (burner, kettle, etc.)",teenii+ɲe
Mombo,"tea-making gear (burner, kettle, etc.)",tɛɛgu+le+ge
BonduSoNajamba,"tea-making gear (burner, kettle, etc.)",teego+ne
Nanga,"tea-making gear (burner, kettle, etc.)",teegɔ+rⁿi
Penange,"tea-making gear (burner, kettle, etc.)",attee+gol+ge
PergeTegu,"tea-making gear (burner, kettle, etc.)",teenii+ŋgɛ
Tiranige,"tea-making gear (burner, kettle, etc.)",teego+wⁿ+ge
TogoKan,"tea-making gear (burner, kettle, etc.)",tegɛ+rⁿii
TommoSoTongoTongo,"tea-making gear (burner, kettle, etc.)",teege+nu
ToroTegu,"tea-making gear (burner, kettle, etc.)",ateeli+sa
YandaDom,"tea-making gear (burner, kettle, etc.)",teego+n
YornoSo,"tea-making gear (burner, kettle, etc.)",teegɛ+n
BankanTey,speak (verb only),te+e
BenTey,speak (verb only),teg+e
Bunoge,speak (verb only),tag+e
Bunoge,speak (verb only),taay+e
DogulDomBendiely,speak (verb only),dam+ɛ
DogulDomKundialang,speak (verb only),dam+e
DonnoSo,speak (verb only),sɔy+yɛ+ɛ
JamsayGourou,speak (verb only),teg+e
JamsayDouentza,speak (verb only),teg+e
Mombo,speak (verb only),dam+i
BonduSoNajamba,speak (verb only),dam+e
Nanga,speak (verb only),tiŋ+i
Nanga,speak (verb only),dam+a
Penange,speak (verb only),dam
PergeTegu,speak (verb only),teg+e
TebulUre,speak (verb only),ɔr
Tiranige,speak (verb only),da+mu
TogoKan,speak (verb only),tiŋ+ɛ
TommoSoTongoTongo,speak (verb only),sɔɔ
ToroTegu,speak (verb only),teg+o
YandaDom,speak (verb only),dam
YornoSo,speak (verb only),teg+e
YornoSo,speak (verb only),sɔ+ɔ
BankanTey,"talk (noun), speech, words",tey
BenTey,"talk (noun), speech, words",tey
Bunoge,"talk (noun), speech, words",ta+gu
DogulDomKundialang,"talk (noun), speech, words",do+m
DonnoSo,"talk (noun), speech, words",sɔɔ
JamsayDouentza,"talk (noun), speech, words",te+gu
JamsayMondoro,"talk (noun), speech, words",te+gu
Mombo,"talk (noun), speech, words",doo+ⁿ
BonduSoNajamba,"talk (noun), speech, words",do+m
Nanga,"talk (noun), speech, words",tiŋa
Nanga,"talk (noun), speech, words",da+ma
Penange,"talk (noun), speech, words",diga+m
PergeTegu,"talk (noun), speech, words",te+gu
TebulUre,"talk (noun), speech, words",oru+go
Tiranige,"talk (noun), speech, words",toni
TogoKan,"talk (noun), speech, words",tiŋɛ
TommoSoTongoTongo,"talk (noun), speech, words",sɔɔ
ToroTegu,"talk (noun), speech, words",te+gu
YandaDom,"talk (noun), speech, words",do+m
YornoSo,"talk (noun), speech, words",sɔɔ
YornoSo,"talk (noun), speech, words",te+gu
BenTey,"language, dialect",tey
Bunoge,"language, dialect",ta+gu
DogulDomBendiely,"language, dialect",doo+m
DogulDomKundialang,"language, dialect",do+m
DonnoSo,"language, dialect",sɔɔ
JamsayDouentza,"language, dialect",tegu+tɔ+gu
JamsayDouentza,"language, dialect",te+gu
Nanga,"language, dialect",da+ma
Penange,"language, dialect",diga+m
TebulUre,"language, dialect",oru+go
Tiranige,"language, dialect",toni
TogoKan,"language, dialect",ka+ⁿ
TommoSoTongoTongo,"language, dialect",sɔɔ
ToroTegu,"language, dialect",te+gu
Ampari,say,n+ɛ
Ampari,say,pɔr+ɛ
BenTey,say,gu+yⁿ
Bunoge,say,ʔun+ɛ
Bunoge,say,taay+e
DogulDomBendiely,say,gin+ɛ
DogulDomBendiely,say,pol+e
DogulDomKundialang,say,gin+ɛ
DogulDomKundialang,say,pɔl+ɛ
DonnoSo,say,gɛ+ɛ
JamsayGourou,say,g+ɛ
JamsayDouentza,say,ga+a
JamsayDouentza,say,ga
JamsayDouentza,say,j+ɛ
JamsayMondoro,say,ga+a
JamsayMondoro,say,j+ɛ
BonduSoNajamba,say,gin+ɛ
Nanga,say,kiy+ɛ
Penange,say,dam
Penange,say,n+ɛ
PergeTegu,say,ga+a
TebulUre,say,tag+a
TebulUre,say,jin
TebulUre,say,ɔ+ru
TogoKan,say,pɔn+ɔ
TommoSoTongoTongo,say,g+ɛ
ToroTegu,say,ga
YandaDom,say,dam
YandaDom,say,gun+ɛ
YandaDom,say,gurⁿ+ɛ
YornoSo,say,g+ɛ
BankanTey,"word, name (of sth)",ŋin+nii
BankanTey,"word, name (of sth)",ɲin+nii
BenTey,"word, name (of sth)",inirⁿii
DogulDomBendiely,"word, name (of sth)",ino
DogulDomKundialang,"word, name (of sth)",
DonnoSo,"word, name (of sth)",boy
JamsayDouentza,"word, name (of sth)",bon
Mombo,"word, name (of sth)",ini
BonduSoNajamba,"word, name (of sth)",inen
Nanga,"word, name (of sth)",nnerⁿi
PergeTegu,"word, name (of sth)",sorⁿu
TebulUre,"word, name (of sth)",bon+go
TogoKan,"word, name (of sth)",bɔ+ⁿ
TommoSoTongoTongo,"word, name (of sth)",boy
ToroTegu,"word, name (of sth)",isoŋ
YandaDom,"word, name (of sth)",do+m
YornoSo,"word, name (of sth)",boy
BankanTey,ask a question of (sb),us+i
BenTey,ask a question of (sb),usur+u
Bunoge,ask a question of (sb),ʔej+a+ruʔ+ejar+e
DogulDomBendiely,ask a question of (sb),tub+ɛ
DogulDomKundialang,ask a question of (sb),tub+ɛ
DonnoSo,ask a question of (sb),tub+ɔ+kund+o
DonnoSo,ask a question of (sb),tub+ɛ
JamsayGourou,ask a question of (sb),usur+u
JamsayDouentza,ask a question of (sb),ujur+o
Mombo,ask a question of (sb),sar+u+sar+e
BonduSoNajamba,ask a question of (sb),sar+e
Nanga,ask a question of (sb),us+i
Penange,ask a question of (sb),sar+u+sar+e
PergeTegu,ask a question of (sb),usur+o
TebulUre,ask a question of (sb),orug+oɔ+dir
Tiranige,ask a question of (sb),ujar+iu+jar+o
TogoKan,ask a question of (sb),uɲɔrⁿ+ɔ
TommoSoTongoTongo,ask a question of (sb),sel+u+mus+elem+ɔ
ToroTegu,ask a question of (sb),us+o
YandaDom,ask a question of (sb),sad+u+sad+u
YornoSo,ask a question of (sb),ujor+o
YornoSo,ask a question of (sb),sel+mɛ
BankanTey,"request, ask for (sth)",lemb+ir+e
BenTey,"request, ask for (sth)",lem+de
DogulDomKundialang,"request, ask for (sth)",gɛŋ+ɛ
Mombo,"request, ask for (sth)",sar+e
BonduSoNajamba,"request, ask for (sth)",sar+e
Nanga,"request, ask for (sth)",us+i
Nanga,"request, ask for (sth)",nemb+ir+e
PergeTegu,"request, ask for (sth)",usur+o
TebulUre,"request, ask for (sth)",nemb+il
TogoKan,"request, ask for (sth)",gɛŋ+ɛ
TommoSoTongoTongo,"request, ask for (sth)",giyⁿ+ɛ
TommoSoTongoTongo,"request, ask for (sth)",baur+u+baur+ɔ
ToroTegu,"request, ask for (sth)",us+o
YandaDom,"request, ask for (sth)",nem+i+le
YornoSo,"request, ask for (sth)",gɛɛ+ⁿ
BankanTey,"answer, reply to (sb)",kis+ɛ
BenTey,"answer, reply to (sb)",sa
BenTey,"answer, reply to (sb)",moos+a
Bunoge,"answer, reply to (sb)",kij+ɛ
DogulDomKundialang,"answer, reply to (sb)",kis+ɛ
DogulDomKundialang,"answer, reply to (sb)",kig+i+lm+e
DonnoSo,"answer, reply to (sb)",yab+i+lɛ+ɛ
JamsayGourou,"answer, reply to (sb)",kaasa+a
JamsayGourou,"answer, reply to (sb)",sa+a
JamsayDouentza,"answer, reply to (sb)",sa+a
JamsayDouentza,"answer, reply to (sb)",kaasa+a
JamsayMondoro,"answer, reply to (sb)",sa+a
Mombo,"answer, reply to (sb)",abul+e
Mombo,"answer, reply to (sb)",kiz+ɛ
BonduSoNajamba,"answer, reply to (sb)",jaab+ɛ
Nanga,"answer, reply to (sb)",sa+a
Nanga,"answer, reply to (sb)",nɔɔsa+a
Penange,"answer, reply to (sb)",kij+ɛ
Penange,"answer, reply to (sb)",jamb+e
PergeTegu,"answer, reply to (sb)",sa+a
TebulUre,"answer, reply to (sb)",saam
TebulUre,"answer, reply to (sb)",sa
Tiranige,"answer, reply to (sb)",cig+i+rɔ
TogoKan,"answer, reply to (sb)",sa+a
TommoSoTongoTongo,"answer, reply to (sb)",saw+a
TommoSoTongoTongo,"answer, reply to (sb)",yab+i+lɛ
ToroTegu,"answer, reply to (sb)",cis+o
YandaDom,"answer, reply to (sb)",mb+o+sa+a
YandaDom,"answer, reply to (sb)",sa+a
YornoSo,"answer, reply to (sb)",sa+a
BankanTey,"refuse, reject (a proposal or agreement)",sal+a+kaŋ
BenTey,"refuse, reject (a proposal or agreement)",sal+ɛ
JamsayDouentza,"refuse, reject (a proposal or agreement)",sal+a
Nanga,"refuse, reject (a proposal or agreement)",sal+ɛ
PergeTegu,"refuse, reject (a proposal or agreement)",sal+ɛ
TommoSoTongoTongo,"refuse, reject (a proposal or agreement)",wa
YornoSo,"refuse, reject (a proposal or agreement)",sal+a
BankanTey,"find acceptable, admit or accept (sth/sb, after an evaluation)",aw
BenTey,"find acceptable, admit or accept (sth/sb, after an evaluation)",daay+i+wu
Mombo,"find acceptable, admit or accept (sth/sb, after an evaluation)",dag+e
Nanga,"find acceptable, admit or accept (sth/sb, after an evaluation)",dag+a+mi
TommoSoTongoTongo,"find acceptable, admit or accept (sth/sb, after an evaluation)",yab+a
BenTey,swear (verb only),waat+ɛ
DogulDomBendiely,swear (verb only),kɛnd+a
DogulDomKundialang,swear (verb only),jɛb+yɛ
DonnoSo,swear (verb only),jɛbɛ+ɛ
JamsayDouentza,swear (verb only),waat+ɛ
JamsayDouentza,swear (verb only),waat+a
Mombo,swear (verb only),tɛm+ɔ+ny+ɛ+ɛ
BonduSoNajamba,swear (verb only),waat+ɛ
Nanga,swear (verb only),wal+ɛ
Nanga,swear (verb only),waat+ɛ
Nanga,swear (verb only),waat+i+yi
PergeTegu,swear (verb only),waat+ɛ
TebulUre,swear (verb only),waat+ɛ
TogoKan,swear (verb only),jɛw+ɛ
TommoSoTongoTongo,swear (verb only),jɛb+i+yɛ
YandaDom,swear (verb only),zɛb+i+yɛ
YornoSo,swear (verb only),jɛbɛ+ɛ
BankanTey,"oath, act of swearing (the truth of an assertion, invoking God)",waata
BenTey,"oath, act of swearing (the truth of an assertion, invoking God)",waatɛ
Bunoge,"oath, act of swearing (the truth of an assertion, invoking God)",kuna+kani
DogulDomKundialang,"oath, act of swearing (the truth of an assertion, invoking God)",
JamsayGourou,"oath, act of swearing (the truth of an assertion, invoking God)",amaɲe+y+ⁿ
JamsayDouentza,"oath, act of swearing (the truth of an assertion, invoking God)",waatɛ
Mombo,"oath, act of swearing (the truth of an assertion, invoking God)",tɛ+mɔ
BonduSoNajamba,"oath, act of swearing (the truth of an assertion, invoking God)",waatɛ
Nanga,"oath, act of swearing (the truth of an assertion, invoking God)",waatɛ
Penange,"oath, act of swearing (the truth of an assertion, invoking God)",kuna+kan
PergeTegu,"oath, act of swearing (the truth of an assertion, invoking God)",waatɛ
TebulUre,"oath, act of swearing (the truth of an assertion, invoking God)",waatɛ
Tiranige,"oath, act of swearing (the truth of an assertion, invoking God)",kale
TogoKan,"oath, act of swearing (the truth of an assertion, invoking God)",jɛw
TommoSoTongoTongo,"oath, act of swearing (the truth of an assertion, invoking God)",jɛbi+yile
ToroTegu,"oath, act of swearing (the truth of an assertion, invoking God)",waata
ToroTegu,"oath, act of swearing (the truth of an assertion, invoking God)",birⁿa+ni
YandaDom,"oath, act of swearing (the truth of an assertion, invoking God)",zɛbii
YornoSo,"oath, act of swearing (the truth of an assertion, invoking God)",jebu
BankanTey,"make a promise, promise (sth, to sb)",amaan+a+zɛ
BenTey,"make a promise, promise (sth, to sb)",aaduw+o
Bunoge,"make a promise, promise (sth, to sb)",kun+a
DonnoSo,"make a promise, promise (sth, to sb)",aaduja+a
DonnoSo,"make a promise, promise (sth, to sb)",naam+u+ja+a
JamsayDouentza,"make a promise, promise (sth, to sb)",amaanaa+a
Mombo,"make a promise, promise (sth, to sb)",aaduimb+e
BonduSoNajamba,"make a promise, promise (sth, to sb)",amaan+a+jɛ
BonduSoNajamba,"make a promise, promise (sth, to sb)",amaan+ai+be
BonduSoNajamba,"make a promise, promise (sth, to sb)",aadij+ɛ
Nanga,"make a promise, promise (sth, to sb)",amaan+a+wo
Nanga,"make a promise, promise (sth, to sb)",aadiwo+o
Penange,"make a promise, promise (sth, to sb)",kun+a
PergeTegu,"make a promise, promise (sth, to sb)",amaanaa+a
TebulUre,"make a promise, promise (sth, to sb)",amaan+ei+bɛ
TogoKan,"make a promise, promise (sth, to sb)",saⁿkaⁿ+o
TommoSoTongoTongo,"make a promise, promise (sth, to sb)",aman+ua+wa
ToroTegu,"make a promise, promise (sth, to sb)",amaan+a+sa
YandaDom,"make a promise, promise (sth, to sb)",amaan+i+bo
YornoSo,"make a promise, promise (sth, to sb)",amaana+a
BankanTey,(sb) bestow a blessing (on sb),duw+a+kaŋ
BenTey,(sb) bestow a blessing (on sb),duw+aa+wk+ayⁿ
Bunoge,(sb) bestow a blessing (on sb),duw+i+kan+i
DonnoSo,(sb) bestow a blessing (on sb),duw+aa+wk+und+o
JamsayDouentza,(sb) bestow a blessing (on sb),duw+aa+wk+uno
Mombo,(sb) bestow a blessing (on sb),sal+a+gand+ɛ
Mombo,(sb) bestow a blessing (on sb),sal+a+gak+ani
Mombo,(sb) bestow a blessing (on sb),duw+o+wnd+ɛ
BonduSoNajamba,(sb) bestow a blessing (on sb),duw+a+kan
BonduSoNajamba,(sb) bestow a blessing (on sb),duw+ɛ
Nanga,(sb) bestow a blessing (on sb),duw+a+karⁿ+i
Penange,(sb) bestow a blessing (on sb),duw+aa+wk+ani
PergeTegu,(sb) bestow a blessing (on sb),duw+aa+wk+ulo
TebulUre,(sb) bestow a blessing (on sb),duw+aa+gut+un
TogoKan,(sb) bestow a blessing (on sb),duw+aa+guk+un
TommoSoTongoTongo,(sb) bestow a blessing (on sb),amb+a+boo
ToroTegu,(sb) bestow a blessing (on sb),duw+a+karⁿ+a
YandaDom,(sb) bestow a blessing (on sb),duw+aa+wk+und+o
YornoSo,(sb) bestow a blessing (on sb),duw+aa+kun+ɔ
BankanTey,curse (sb) (verb only),zɛw+ɛ
BenTey,curse (sb) (verb only),jɛw+ɛ
Bunoge,curse (sb) (verb only),yɛb+ɛ
DogulDomKundialang,curse (sb) (verb only),jɛb+ɛ
DonnoSo,curse (sb) (verb only),jɛb+ɛ
JamsayDouentza,curse (sb) (verb only),jɛw+ɛ
JamsayMondoro,curse (sb) (verb only),jɛw+ɛ
Mombo,curse (sb) (verb only),geb+e
BonduSoNajamba,curse (sb) (verb only),sɔŋg+ɛ
Nanga,curse (sb) (verb only),jɛw+ɛ
Penange,curse (sb) (verb only),yɛb+ɛ
PergeTegu,curse (sb) (verb only),gɛw+ɛ
TebulUre,curse (sb) (verb only),zɛb+ɛ
TogoKan,curse (sb) (verb only),jɛw+ɛ
TommoSoTongoTongo,curse (sb) (verb only),jɛb+ɛ
ToroTegu,curse (sb) (verb only),zɛw+a
YandaDom,curse (sb) (verb only),zɛb+ɛ
YornoSo,curse (sb) (verb only),jɛb+ɛ
BankanTey,"call (sb, to come), summon, convoke (sb)",ɲarⁿ+a
BenTey,"call (sb, to come), summon, convoke (sb)",ɲarⁿ+i
Bunoge,"call (sb, to come), summon, convoke (sb)",ɲaaŋ+i
DogulDomBendiely,"call (sb, to come), summon, convoke (sb)",bond+e
DogulDomKundialang,"call (sb, to come), summon, convoke (sb)",boond+e
JamsayGourou,"call (sb, to come), summon, convoke (sb)",bɔrⁿ+ɔ
JamsayDouentza,"call (sb, to come), summon, convoke (sb)",bɔrⁿ+ɔ
JamsayMondoro,"call (sb, to come), summon, convoke (sb)",bɔrⁿ+ɔ
Mombo,"call (sb, to come), summon, convoke (sb)",yal+e
BonduSoNajamba,"call (sb, to come), summon, convoke (sb)",yand+e
Nanga,"call (sb, to come), summon, convoke (sb)",ɲaarⁿ+i
Penange,"call (sb, to come), summon, convoke (sb)",yal+e
PergeTegu,"call (sb, to come), summon, convoke (sb)",sɔrⁿ+ɔ
TebulUre,"call (sb, to come), summon, convoke (sb)",bon+gob+on
Tiranige,"call (sb, to come), summon, convoke (sb)",yaand+o
TogoKan,"call (sb, to come), summon, convoke (sb)",bɔrⁿ+ɔ
TommoSoTongoTongo,"call (sb, to come), summon, convoke (sb)",bo+o
ToroTegu,"call (sb, to come), summon, convoke (sb)",sorⁿ+o
YandaDom,"call (sb, to come), summon, convoke (sb)",yand+al+i
YornoSo,"call (sb, to come), summon, convoke (sb)",boon+ɔ
BankanTey,"announce, proclaim",borⁿ+o
BenTey,"announce, proclaim",bɔrⁿ+ɔ
BenTey,"announce, proclaim",bɔrⁿɔciw+ɛ
DonnoSo,"announce, proclaim",sag+a+nd+a
JamsayDouentza,"announce, proclaim",boon+o
Mombo,"announce, proclaim",baaw+e
BonduSoNajamba,"announce, proclaim",nɔɔs+ɛ
BonduSoNajamba,"announce, proclaim",daand+i
Nanga,"announce, proclaim",bɔrⁿ+ɔ
PergeTegu,"announce, proclaim",bool+o
TogoKan,"announce, proclaim",tog+o+ro
TommoSoTongoTongo,"announce, proclaim",bɔl+ɔ+goond+o
TommoSoTongoTongo,"announce, proclaim",tag+i+lɛ
ToroTegu,"announce, proclaim",bor+o
YandaDom,"announce, proclaim",baŋ+a+li
YornoSo,"announce, proclaim",boon+u+kun+ɔ
BankanTey,"explain (sth, to sb)",pam+i+nak+aŋ
BenTey,"explain (sth, to sb)",paam+i+nɛ
BenTey,"explain (sth, to sb)",pam+min+ɛ
JamsayDouentza,"explain (sth, to sb)",paam+i+ne
Mombo,"explain (sth, to sb)",taar+e
BonduSoNajamba,"explain (sth, to sb)",bay+a+me
BonduSoNajamba,"explain (sth, to sb)",baar+ɛ
Nanga,"explain (sth, to sb)",paam+ɛ+mi
PergeTegu,"explain (sth, to sb)",paam+i+nɛ
TogoKan,"explain (sth, to sb)",kɔr+ɔ+tiŋ+ɛ
TommoSoTongoTongo,"explain (sth, to sb)",jug+ɔ+mɔ
TommoSoTongoTongo,"explain (sth, to sb)",tag+a
ToroTegu,"explain (sth, to sb)",tot+o
YandaDom,"explain (sth, to sb)",paam+ɛ
YandaDom,"explain (sth, to sb)",pil+lɛ
YornoSo,"explain (sth, to sb)",paam+a+mɔ
BankanTey,"pardon, forgive (sb)",kaw+rik+aŋ
BenTey,"pardon, forgive (sb)",yaap+ɛ+yaap+ɛ
BenTey,"pardon, forgive (sb)",yaap+ɛ
Bunoge,"pardon, forgive (sb)",yaaf+i+kan+i
DonnoSo,"pardon, forgive (sb)",yaab+u+kan+a
JamsayGourou,"pardon, forgive (sb)",yaaf+ɛ
JamsayDouentza,"pardon, forgive (sb)",yaaf+ɛ
JamsayDouentza,"pardon, forgive (sb)",yaap+ɛ
Mombo,"pardon, forgive (sb)",yaaf+i+kan+i
BonduSoNajamba,"pardon, forgive (sb)",yaaf+ɛ
BonduSoNajamba,"pardon, forgive (sb)",kan+e
Nanga,"pardon, forgive (sb)",kaw+ri
Nanga,"pardon, forgive (sb)",kaw+rik+arⁿ+i
Nanga,"pardon, forgive (sb)",yaab+i
Penange,"pardon, forgive (sb)",yaaf+i+kan+i
PergeTegu,"pardon, forgive (sb)",yaap+ɛ
TebulUre,"pardon, forgive (sb)",yaab+i+yaab+iti
Tiranige,"pardon, forgive (sb)",yaap+i+kan+u
TogoKan,"pardon, forgive (sb)",yaap+i
TommoSoTongoTongo,"pardon, forgive (sb)",yaab+a+kan+a
ToroTegu,"pardon, forgive (sb)",yaaf+a+karⁿukarⁿ+a
YandaDom,"pardon, forgive (sb)",yaab+ɛ
YornoSo,"pardon, forgive (sb)",yaab+u+karⁿ+a
BankanTey,stutter (verb only),bemb+e
BenTey,stutter (verb only),bemb+e
Bunoge,stutter (verb only),tiŋ+e
DogulDomKundialang,stutter (verb only),kiy+e
DonnoSo,stutter (verb only),kiig+ee
JamsayGourou,stutter (verb only),im+ɛ
JamsayDouentza,stutter (verb only),im+ɛ
JamsayMondoro,stutter (verb only),im+ɛ
Nanga,stutter (verb only),bemb+e
Penange,stutter (verb only),suj+e
PergeTegu,stutter (verb only),bemb+e
TebulUre,stutter (verb only),im+ɛ
Tiranige,stutter (verb only),tug+u+jo
TogoKan,stutter (verb only),ir+e
TommoSoTongoTongo,stutter (verb only),ilm+ɛ
ToroTegu,stutter (verb only),bem+o
YandaDom,stutter (verb only),imil+o
YornoSo,stutter (verb only),im+ɛ
BankanTey,(sb) be certain (of sth),tajaralw+o
BenTey,(sb) be certain (of sth),tajɔr+ɔ
Mombo,(sb) be certain (of sth),tagyɔrɔkan+i
BonduSoNajamba,(sb) be certain (of sth),tair+ɛ
Nanga,(sb) be certain (of sth),tagir+i
PergeTegu,(sb) be certain (of sth),tajar+a
TogoKan,(sb) be certain (of sth),hɔɔl+i
BankanTey,"say sth false (lie, exaggeration, or honest mistake)",kɔr+u+ruk+ɔrɔ
BenTey,"say sth false (lie, exaggeration, or honest mistake)",kɔr+u+kɔr+ɔ
Bunoge,"say sth false (lie, exaggeration, or honest mistake)",siy+a+wal+e
DonnoSo,"say sth false (lie, exaggeration, or honest mistake)",kal+u+kal+ulal+a
DonnoSo,"say sth false (lie, exaggeration, or honest mistake)",bil+u+mm+ɛ
JamsayGourou,"say sth false (lie, exaggeration, or honest mistake)",kɔr+u+kɔr+ɔ
JamsayDouentza,"say sth false (lie, exaggeration, or honest mistake)",kɔr+u+kɔr+ɔ
Mombo,"say sth false (lie, exaggeration, or honest mistake)",tag+u+tag+e
BonduSoNajamba,"say sth false (lie, exaggeration, or honest mistake)",pab+e
Nanga,"say sth false (lie, exaggeration, or honest mistake)",kak+a+rik+ara
Penange,"say sth false (lie, exaggeration, or honest mistake)",yub+u+gɔd+am
PergeTegu,"say sth false (lie, exaggeration, or honest mistake)",kɔr+u+kɔr+ɔ
TebulUre,"say sth false (lie, exaggeration, or honest mistake)",kak+a+lk+a+a
Tiranige,"say sth false (lie, exaggeration, or honest mistake)",tw+ɛɛ+tɔ+ɔ
TogoKan,"say sth false (lie, exaggeration, or honest mistake)",bin+kɛj+ɛkɛj+ɛ
TommoSoTongoTongo,"say sth false (lie, exaggeration, or honest mistake)",kak+a+luk+ala
TommoSoTongoTongo,"say sth false (lie, exaggeration, or honest mistake)",kɔl+u+kɔl+ɔ
ToroTegu,"say sth false (lie, exaggeration, or honest mistake)",kɔr+u+mɔ
YandaDom,"say sth false (lie, exaggeration, or honest mistake)",kak+a+lk+al
YandaDom,"say sth false (lie, exaggeration, or honest mistake)",kɔl+ɔ+kɔl+ɔ
YornoSo,"say sth false (lie, exaggeration, or honest mistake)",kik+a+lk+ala
BankanTey,"error, mistake",lere
BankanTey,"error, mistake",wɔɔfa
BenTey,"error, mistake",leru
DogulDomKundialang,"error, mistake",
DonnoSo,"error, mistake",ya+ma
JamsayDouentza,"error, mistake",leru
BonduSoNajamba,"error, mistake",saji+le
Nanga,"error, mistake",leri
Penange,"error, mistake",telu
PergeTegu,"error, mistake",leru
TommoSoTongoTongo,"error, mistake",saani+ye
TommoSoTongoTongo,"error, mistake",sadi+ye
ToroTegu,"error, mistake",mɔrⁿɔ
YandaDom,"error, mistake",lel
YornoSo,"error, mistake",lel
BankanTey,"err, be in error, be wrong (verb only)",ler+e
BenTey,"err, be in error, be wrong (verb only)",ler+e
Bunoge,"err, be in error, be wrong (verb only)",saj+e
DogulDomKundialang,"err, be in error, be wrong (verb only)",
DonnoSo,"err, be in error, be wrong (verb only)",yamakan
JamsayDouentza,"err, be in error, be wrong (verb only)",ler+e
JamsayDouentza,"err, be in error, be wrong (verb only)",
JamsayDouentza,"err, be in error, be wrong (verb only)",
Mombo,"err, be in error, be wrong (verb only)",tɔɔnɔsaand+a
BonduSoNajamba,"err, be in error, be wrong (verb only)",saj+i
BonduSoNajamba,"err, be in error, be wrong (verb only)",
Nanga,"err, be in error, be wrong (verb only)",ler+e
Penange,"err, be in error, be wrong (verb only)",tɛl+ɛ
PergeTegu,"err, be in error, be wrong (verb only)",ler+e
TebulUre,"err, be in error, be wrong (verb only)",ler+e
TommoSoTongoTongo,"err, be in error, be wrong (verb only)",saaniy+ɛ
ToroTegu,"err, be in error, be wrong (verb only)",mɔrⁿu
YandaDom,"err, be in error, be wrong (verb only)",lel+e
YornoSo,"err, be in error, be wrong (verb only)",lel+e
BankanTey,"primary, ordinary, authentic, real, true (species, type)",na+a
DogulDomKundialang,"primary, ordinary, authentic, real, true (species, type)",nɛɛn+ɛ
DonnoSo,"primary, ordinary, authentic, real, true (species, type)",na+a
JamsayDouentza,"primary, ordinary, authentic, real, true (species, type)",na+a
BonduSoNajamba,"primary, ordinary, authentic, real, true (species, type)",nala+a
PergeTegu,"primary, ordinary, authentic, real, true (species, type)",na+a
TogoKan,"primary, ordinary, authentic, real, true (species, type)",na+a
TommoSoTongoTongo,"primary, ordinary, authentic, real, true (species, type)",n+aa
Ampari,who?,waa
BankanTey,who?,am
BenTey,who?,a+m
Bunoge,who?,ʔaaye
DogulDomBendiely,who?,ami
DogulDomKundialang,who?,am
DonnoSo,who?,aa
JamsayDouentza,who?,aa
JamsayDouentza,who?,ilaa
Mombo,who?,aa
BonduSoNajamba,who?,am
Nanga,who?,aŋ
Penange,who?,aa
PergeTegu,who?,aa
TebulUre,who?,a+m
Tiranige,who?,aa
TogoKan,who?,aa
TommoSoTongoTongo,who?,aa
ToroTegu,who?,aye
YandaDom,who?,am
