DOCULECT,GLOSS,IPA
DonnoSo,bird (any),sadaa
JamsayDouentza,bird (any),saajii+ⁿ
JamsayDouentza,bird (any),saju
JamsayMondoro,bird (any),saju
Mombo,bird (any),ini
BonduSoNajamba,bird (any),nii
Nanga,bird (any),lii+gi
Penange,bird (any),nej+je
PergeTegu,bird (any),sasa+y
TebulUre,bird (any),ade
Tiranige,bird (any),niye
TogoKan,bird (any),saju
TommoSoTongoTongo,bird (any),sadaa
TomoKanDiangassagou,bird (any),saju
TomoKanSegue,bird (any),saju
ToroTegu,bird (any),say
YandaDom,bird (any),aɲan
YornoSo,bird (any),sisaa
BankanTey,poultry,jɛ+ndɛ+ki+si+yu
Mombo,poultry,kara+kara+saa+ge
TommoSoTongoTongo,poultry,ginɛy+sadaa
YornoSo,poultry,ɛɲɛ
BankanTey,pig,ariye+m
BenTey,pig,toru+m
Bunoge,pig,ʔal+la
DogulDomBendiely,pig,aliya
DogulDomKundialang,pig,aliya
DonnoSo,pig,tolu
JamsayDouentza,pig,toru
Mombo,pig,aluwa
BonduSoNajamba,pig,aliya
BonduSoNajamba,pig,oleali+ya
Nanga,pig,toori
Penange,pig,al+ga
PergeTegu,pig,toru
TebulUre,pig,tole
Tiranige,pig,aliya
TogoKan,pig,toru
TommoSoTongoTongo,pig,tolu
ToroTegu,pig,toru
YandaDom,pig,tol
YornoSo,pig,tol
BenTey,"cattle herder, cowherd",naabe+re+m
DogulDomBendiely,"cattle herder, cowherd",nagi+r
DonnoSo,"cattle herder, cowherd",naŋa+giri+nɛ
JamsayDouentza,"cattle herder, cowherd",naŋa+jirɛ+n
Mombo,"cattle herder, cowherd",naagi+ri
BonduSoNajamba,"cattle herder, cowherd",nawoo+kir+gɛɛ
Nanga,"cattle herder, cowherd",naŋa+bere+mbi
Penange,"cattle herder, cowherd",naagi+r
TommoSoTongoTongo,"cattle herder, cowherd",naagi+rinɛ
ToroTegu,"cattle herder, cowherd",naŋa+benu
YandaDom,"cattle herder, cowherd",naaki+lɛ
YornoSo,"cattle herder, cowherd",naagi+rɛnɛ
BankanTey,"grass, herbs",beru
BankanTey,"grass, herbs",sawaa
BenTey,"grass, herbs",beru
Bunoge,"grass, herbs",kɔji
DogulDomBendiely,"grass, herbs",kɔɔ+gu
DogulDomKundialang,"grass, herbs",kɔɔ+g
DogulDomKundialang,"grass, herbs",bele
DonnoSo,"grass, herbs",bele
JamsayDouentza,"grass, herbs",ɔyɔ
Mombo,"grass, herbs",bele+ŋge
BonduSoNajamba,"grass, herbs",sɔɔmɛ+ŋgo
Nanga,"grass, herbs",beri
Nanga,"grass, herbs",sawa
Penange,"grass, herbs",kɔji
PergeTegu,"grass, herbs",ɔyɔ
TebulUre,"grass, herbs",yɔwa
Tiranige,"grass, herbs",bel+ŋge
TiranigeBoui ,"grass, herbs",bele+ŋge
Tiranige,"grass, herbs",kɔy
TogoKan,"grass, herbs",gugu+ru
TommoSoTongoTongo,"grass, herbs",keru
TommoSoTongoTongo,"grass, herbs",belu
TomoKanDiangassagou,"grass, herbs",gunii
TomoKanSegue,"grass, herbs",gwi+ni
ToroTegu,"grass, herbs",sɔlɔ
YandaDom,"grass, herbs",ɔa
YornoSo,"grass, herbs",dɔ+gɔ
BankanTey,pasture,bebe+ru
BenTey,pasture,ɔrⁿɔɔ
DogulDomBendiely,pasture,giru
Mombo,pasture,bɛli+giri
BonduSoNajamba,pasture,gir+ŋga+n
Nanga,pasture,bere+mbi
TommoSoTongoTongo,pasture,giru+giru
ToroTegu,pasture,sasa+ŋ
YornoSo,pasture,bel
BankanTey,"castrated (bull, ram, billygoat)",mɔɔraa+ni
BenTey,"castrated (bull, ram, billygoat)",pɔru+m
JamsayGourou,"castrated (bull, ram, billygoat)",pɔru
JamsayDouentza,"castrated (bull, ram, billygoat)",pɔru
Mombo,"castrated (bull, ram, billygoat)",ka+mbe
BonduSoNajamba,"castrated (bull, ram, billygoat)",mɔrɛ+baa
Nanga,"castrated (bull, ram, billygoat)",pɔri
TogoKan,"castrated (bull, ram, billygoat)",pɔru
TommoSoTongoTongo,"castrated (bull, ram, billygoat)",pɔru
ToroTegu,"castrated (bull, ram, billygoat)",pɔlu
YandaDom,"castrated (bull, ram, billygoat)",pɔdu
YornoSo,"castrated (bull, ram, billygoat)",pɔru
BankanTey,skin and butcher (carcass of slaughtered animal),pand+i
BenTey,skin and butcher (carcass of slaughtered animal),po
BenTey,skin and butcher (carcass of slaughtered animal),pal+i
BenTey,skin and butcher (carcass of slaughtered animal),ur+ɔ
Bunoge,skin and butcher (carcass of slaughtered animal),ʔɔr+ɛ
DogulDomBendiely,skin and butcher (carcass of slaughtered animal),kɛs+ɛ
DogulDomKundialang,skin and butcher (carcass of slaughtered animal),ur+ɛ
DonnoSo,skin and butcher (carcass of slaughtered animal),ur+ɛ
JamsayGourou,skin and butcher (carcass of slaughtered animal),pɔ+ɔ
JamsayDouentza,skin and butcher (carcass of slaughtered animal),pan+a
JamsayMondoro,skin and butcher (carcass of slaughtered animal),pan+a
Mombo,skin and butcher (carcass of slaughtered animal),tɔl+ɛ
BonduSoNajamba,skin and butcher (carcass of slaughtered animal),tɔn+ɛ
Nanga,skin and butcher (carcass of slaughtered animal),ur+ɔ
Nanga,skin and butcher (carcass of slaughtered animal),pand+i
Penange,skin and butcher (carcass of slaughtered animal),tɔl+ɛ
PergeTegu,skin and butcher (carcass of slaughtered animal),pal+a
TebulUre,skin and butcher (carcass of slaughtered animal),ur+ɔ
Tiranige,skin and butcher (carcass of slaughtered animal),tɔn+ɔ
TogoKan,skin and butcher (carcass of slaughtered animal),pɔ+ɔ
TommoSoTongoTongo,skin and butcher (carcass of slaughtered animal),ur+ɔ
TomoKanDiangassagou,skin and butcher (carcass of slaughtered animal),ʔur+ɛ
TomoKanSegue,skin and butcher (carcass of slaughtered animal),ʔur+ɛ
ToroTegu,skin and butcher (carcass of slaughtered animal),wor+o
YandaDom,skin and butcher (carcass of slaughtered animal),pan+a+li
YornoSo,skin and butcher (carcass of slaughtered animal),ur+ɔ
BankanTey,donkey,duru+m
BenTey,donkey,suru+bɔ+ŋgɔ+m
BenTey,donkey,subɔ+ŋgɔ+m
BenTey,donkey,subɔ+ŋgɔ+m
Bunoge,donkey,kolo+mu
DogulDomBendiely,donkey,dulu+gu
DogulDomKundialang,donkey,dulu+g
DonnoSo,donkey,ja+ŋgu+ru
JamsayGourou,donkey,zam+duru
JamsayDouentza,donkey,jam+duru
JamsayDouentza,donkey,ja+ndu+ru
JamsayMondoro,donkey,ja+ndu+ru
Mombo,donkey,kɔn+yɔ
BonduSoNajamba,donkey,par+ŋga
BonduSoNajamba,donkey,para+ŋga
Nanga,donkey,suma+ŋa
Penange,donkey,kolo+kolo
PergeTegu,donkey,jam+duru
TebulUre,donkey,zam+dile
TiranigeBoui ,donkey,kɔlɔ+ŋɔ
TiranigeNingo ,donkey,kɔni+yɔ
TogoKan,donkey,jɔⁿtu+ru
TommoSoTongoTongo,donkey,ja+ndu+lu
TommoSoTongoTongo,donkey,dulu
TomoKanDiangassagou,donkey,jo+ndu
TomoKanSegue,donkey,jo+ndo
ToroTegu,donkey,za+ndu+ru
YandaDom,donkey,zam+duru
YandaDom,donkey,zam+turu
YornoSo,donkey,jam+dul
BankanTey,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndi+ye
BenTey,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndo+l
Bunoge,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndu+du+rɛ
DogulDomKundialang,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndu+du+rɛ
DonnoSo,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ja+ndu+ru+to+o+lo
JamsayGourou,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔrɔ+gun
JamsayDouentza,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔrɔ+gol
JamsayDouentza,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndu+wo+l
JamsayDouentza,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndo+wo+l
JamsayDouentza,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndɛɛ+rɛ
Mombo,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,gɔɔⁿdaa+le
BonduSoNajamba,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndu+re
Nanga,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔrɔ+gol
Nanga,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔrɔ+dun+marⁿa
Penange,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,par+gawo+llo
PergeTegu,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔrɔ+kɔlu
TebulUre,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kwaa+kolo
Tiranige,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndi+re
TogoKan,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔrɔ+gol
TommoSoTongoTongo,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,geɲ+ɲudɔ+y+ⁿ
TommoSoTongoTongo,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,dugɔ+ndɔ
TomoKanDiangassagou,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔlɔ+su+ŋgu
TomoKanSegue,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔlɔ+su+ŋgu
ToroTegu,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,ga+ndo+l
ToroTegu,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,gali+ye
YandaDom,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,kɔlɔ+godu
BankanTey,chicken,ɛzɛ+m
BenTey,chicken,ɛnjɛ+m
Bunoge,chicken,siija
DogulDomBendiely,chicken,arujɛ+nɛ
DogulDomKundialang,chicken,ɔllɔ
DonnoSo,chicken,enje
JamsayGourou,chicken,ɛsɛ
JamsayDouentza,chicken,ɛɲɛ
JamsayMondoro,chicken,ɛɲɛ
Mombo,chicken,sija
BonduSoNajamba,chicken,koko+ro
BonduSoNajamba,chicken,koro
Nanga,chicken,ɛnjɛ
Penange,chicken,sir+ga
PergeTegu,chicken,ɛnjɛ
TebulUre,chicken,ɛnjɛ
TiranigeBoui,chicken,sija
TiranigeNingo ,chicken,siija
TogoKan,chicken,ko+go
TommoSoTongoTongo,chicken,ɛnjɛ
TomoKanDiangassagou,chicken,ku+go
TomoKanSegue,chicken,ku+go
ToroTegu,chicken,ɛⁿsa
ToroTegu,chicken,ɛsa
YandaDom,chicken,ɛdɛ
YornoSo,chicken,ɛɲɛ
BankanTey,rooster,ɛzɛkoo+ro+m
BenTey,rooster,ɛnjɛ+kooro+m
Bunoge,rooster,siija+nolo
DogulDomBendiely,rooster,ɔllɔa+na
DonnoSo,rooster,enjea+na
JamsayDouentza,rooster,ɛɲɛarⁿa
BonduSoNajamba,rooster,koroa+ne
Nanga,rooster,ɛnjɛa+rⁿa
Penange,rooster,sir+gawa+la
PergeTegu,rooster,ɛnjɛa+rⁿa
TebulUre,rooster,ɛ+ŋko+ko
Tiranige,rooster,sija+bana
TogoKan,rooster,kogoa+rⁿa
TomoKanDiangassagou,rooster,kugoa+la
TomoKanSegue,rooster,kugo+ʔala
ToroTegu,rooster,ɛsaara
YandaDom,rooster,ɛdɛko+ŋo
YornoSo,rooster,ɛɲɛarⁿa
Ampari,egg,pori
BankanTey,egg,tarii
BenTey,egg,tarii
Bunoge,egg,pole+ŋge
DogulDomBendiely,egg,pulɔ
DogulDomKundialang,egg,polo
DonnoSo,egg,talu
JamsayGourou,egg,taru
JamsayDouentza,egg,taru
Mombo,egg,pole
BonduSoNajamba,egg,pol+ŋgo
Nanga,egg,taari
Penange,egg,pole
PergeTegu,egg,taru
TebulUre,egg,talɛ
TiranigeBoui,egg,pol+ŋge
TiranigeNingo ,egg,pole
TogoKan,egg,taru
TommoSoTongoTongo,egg,talu
ToroTegu,egg,taru
YandaDom,egg,tol
YornoSo,egg,tal
JamsayDouentza,egg yolk (yellow),taru+yɔrɔ+pirⁿe
BonduSoNajamba,egg yolk (yellow),pol+ŋgoɔɔ+la+ŋgo
TommoSoTongoTongo,egg yolk (yellow),talun+yɛlɛɔɔ+lɔ
TommoSoTongoTongo,egg yolk (yellow),talu+yulɔ+punɔ
ToroTegu,egg yolk (yellow),taru+barⁿi
YandaDom,egg yolk (yellow),tol+lol+puna
YornoSo,egg yolk (yellow),tal+yulɔ+pɔrⁿɔ+kɔl
Ampari,"person, human being",i+nda+ro
BankanTey,"person, human being",asuma+m
BenTey,"person, human being",nu+m
Bunoge,"person, human being",sojo
DogulDomBendiely,"person, human being",noo
DogulDomKundialang,"person, human being",noo
DonnoSo,"person, human being",ndɛ
JamsayGourou,"person, human being",inen
JamsayDouentza,"person, human being",inen
JamsayMondoro,"person, human being",inen
Mombo,"person, human being",nda
BonduSoNajamba,"person, human being",noo
BonduSoKindige,person,noo
Nanga,"person, human being",nuu
Penange,"person, human being",nta
PergeTegu,"person, human being",inerⁿu
TebulUre,"person, human being",ɲe
Tiranige,"person, human being",ndaa
TogoKan,"person, human being",na
TommoSoTongoTongo,"person, human being",ndɛ
TomoKanDiangassagou,"person, human being",neŋe
TomoKanSegue,"person, human being",ɲɛʔⁿɛ
ToroTegu,"person, human being",nurⁿu
ToroTegu,"person, human being",nurⁿu
ToroTegu,"person, human being",nunu+nurⁿu
YandaDom,"person, human being",no
YornoSo,"person, human being",inɛ
BankanTey,boy,arⁿayi+m
BenTey,boy,asuwⁿɛ+yi+m
BenTey,boy,asuwⁿɛ+yi+m
BenTey,boy,asuwⁿɔ+yi+m
BenTey,boy,asuwⁿɔ+yi+m
Bunoge,boy,beeno+loye
DogulDomBendiely,boy,eguana
DogulDomKundialang,boy,egana
DonnoSo,boy,annaii
DonnoSo,boy,annay
JamsayGourou,boy,ain
JamsayDouentza,boy,ayⁿin
JamsayMondoro,boy,ayⁿin
