# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA
15305	Mombo	(e.g. stick) be dropped (by sb)	dɔmb+ul+ɛ
15306	BonduSoNajamba	(e.g. stick) be dropped (by sb)	por+dɛŋ+ɛ
15307	Nanga	(e.g. stick) be dropped (by sb)	yɛg+ɛ
15308	PergeTegu	(e.g. stick) be dropped (by sb)	bag+a
15309	TommoSoTongoTongo	(e.g. stick) be dropped (by sb)	ɛll+i+yɛ
15310	ToroTegu	(e.g. stick) be dropped (by sb)	luw+o
15311	YornoSo	(e.g. stick) be dropped (by sb)	bag+a
#
9539	BankanTey	(imam) preach, give a sermon	waaj+o+kaŋ
9540	BenTey	(imam) preach, give a sermon	waaj+ɛ+waaj+ɛ
9541	Bunoge	(imam) preach, give a sermon	waaj+u+kan+i
9542	DogulDomBendiely	(imam) preach, give a sermon	waj+e+kan+ɛ
9543	DogulDomKundialang	(imam) preach, give a sermon	waaj+kan+e
9544	DonnoSo	(imam) preach, give a sermon	waaj+u+kan+a
9545	JamsayGourou	(imam) preach, give a sermon	tirⁿiwⁿ+ɛ
9546	JamsayDouentza	(imam) preach, give a sermon	waaj+u+waaj+ɛ
9547	BonduSoNajamba	(imam) preach, give a sermon	waaj+u+waaj+ɛ
9548	Nanga	(imam) preach, give a sermon	waaj+ɛ+waaj+i
9549	Penange	(imam) preach, give a sermon	waaj+i+kan
9550	PergeTegu	(imam) preach, give a sermon	waaj+ɛ+waaj+ɛ
9551	TebulUre	(imam) preach, give a sermon	waaj+ɛ+waaj+ɛ
9552	Tiranige	(imam) preach, give a sermon	waaj+i+kan+u
9553	TogoKan	(imam) preach, give a sermon	waaj+u+waaj+u
9554	TommoSoTongoTongo	(imam) preach, give a sermon	waaj+u+kan+a
9555	ToroTegu	(imam) preach, give a sermon	karⁿ+a
9556	YornoSo	(imam) preach, give a sermon	waaj+u+kun+ɔ
9557	YornoSo	(imam) preach, give a sermon	waaj+u+tag+a
#
7503	BenTey	(legs) be spread, be separated	gɔmb+iiiy+i
7504	DonnoSo	(legs) be spread, be separated	gɔɔmb+ɔ
7505	DonnoSo	(legs) be spread, be separated	gɔmb+ɛ+ɛ
7506	Mombo	(legs) be spread, be separated	gɔmb+ɛ
7507	Nanga	(legs) be spread, be separated	gɔmb+iiiy+i
7508	TommoSoTongoTongo	(legs) be spread, be separated	wan+na
#
5797	BankanTey	(liquid) drip (one drop at a time)	tek+e
5798	BenTey	(liquid) drip (one drop at a time)	teg+e
5799	Bunoge	(liquid) drip (one drop at a time)	tɛg+ɛ
5800	DogulDomBendiely	(liquid) drip (one drop at a time)	ten+e
5801	DogulDomKundialang	(liquid) drip (one drop at a time)	ten+e
5802	DonnoSo	(liquid) drip (one drop at a time)	tel+e
5803	JamsayGourou	(liquid) drip (one drop at a time)	som+o
5804	JamsayDouentza	(liquid) drip (one drop at a time)	lem+lemb+aɣ+a
5805	Mombo	(liquid) drip (one drop at a time)	sol+e
5806	BonduSoNajamba	(liquid) drip (one drop at a time)	teg+i
5807	Nanga	(liquid) drip (one drop at a time)	teg+e
5808	Penange	(liquid) drip (one drop at a time)	deg+e
5809	PergeTegu	(liquid) drip (one drop at a time)	teg+e
5810	TebulUre	(liquid) drip (one drop at a time)	teg+e
5811	Tiranige	(liquid) drip (one drop at a time)	deg+o
5812	Tiranige	(liquid) drip (one drop at a time)	deg+u+deg+ukan+u
5813	TogoKan	(liquid) drip (one drop at a time)	lew+e
5814	TogoKan	(liquid) drip (one drop at a time)	sor+o
5815	TommoSoTongoTongo	(liquid) drip (one drop at a time)	teg+e
5816	ToroTegu	(liquid) drip (one drop at a time)	lek+u+ro
5817	YandaDom	(liquid) drip (one drop at a time)	teg+e
5818	YandaDom	(liquid) drip (one drop at a time)	somb+o
5819	YornoSo	(liquid) drip (one drop at a time)	teg+e
#
8954	BankanTey	(man's) sister	poya+m
8955	BenTey	(man's) sister	poyaa
8956	DogulDomBendiely	(man's) sister	saa
8957	DogulDomKundialang	(man's) sister	saaŋ
8958	DonnoSo	(man's) sister	saa
8959	DonnoSo	(man's) sister	yaasaa
8960	JamsayDouentza	(man's) sister	yɛsaa
8961	JamsayMondoro	(man's) sister	yɛsaa
8962	TebulUre	(man's) sister	sa
8963	Tiranige	(man's) sister	baa
8964	TommoSoTongoTongo	(man's) sister	saa
8965	ToroTegu	(man's) sister	isuyⁿa+rⁿu
8966	YandaDom	(man's) sister	saa
8967	YornoSo	(man's) sister	yasaa
#
2951	BankanTey	(man) copulate with, fuck (woman)	gum+ɔ
2952	BenTey	(man) copulate with, fuck (woman)	guwⁿ+ɔ
2953	JamsayDouentza	(man) copulate with, fuck (woman)	sɛr+ɛ
2954	Mombo	(man) copulate with, fuck (woman)	yɔɔnd+ob+iye
2955	BonduSoNajamba	(man) copulate with, fuck (woman)	gum+ɛ
2956	Nanga	(man) copulate with, fuck (woman)	gum+ɔ
2957	Penange	(man) copulate with, fuck (woman)	mɔr+ɛ
2958	PergeTegu	(man) copulate with, fuck (woman)	sɛr+ɛ
2959	TogoKan	(man) copulate with, fuck (woman)	nɔŋ+u+nɔɲ+ɔ
2960	TommoSoTongoTongo	(man) copulate with, fuck (woman)	gum+ɔ
2961	TommoSoTongoTongo	(man) copulate with, fuck (woman)	kan+a
2962	TomoKanDiangassagou	(man) copulate with, fuck (woman)	ubaab+i+rɛ
2963	TomoKanSegue	(man) copulate with, fuck (woman)	ubaab+i+rɛ
2964	ToroTegu	(man) copulate with, fuck (woman)	sɛr+a
2965	YandaDom	(man) copulate with, fuck (woman)	gum+ɔ
2966	YornoSo	(man) copulate with, fuck (woman)	ɔgɔ
#
9792	BankanTey	(man) marry (woman)	ser+e
9793	BankanTey	(man) marry (woman)	z+ɛ
9794	BenTey	(man) marry (woman)	j+ɛ
9795	Bunoge	(man) marry (woman)	kel+de
9796	DogulDomKundialang	(man) marry (woman)	ɛyy+ɛ
9797	DonnoSo	(man) marry (woman)	jɛɛ
9798	JamsayGourou	(man) marry (woman)	zɛ+ɛ
9799	JamsayDouentza	(man) marry (woman)	jɛ+ɛ
9800	JamsayDouentza	(man) marry (woman)	tan+a+ŋa
9801	JamsayMondoro	(man) marry (woman)	jɛ+ɛ
9802	Mombo	(man) marry (woman)	yɔɔk+e+dd+e
9803	BonduSoNajamba	(man) marry (woman)	j+ɛ
9804	Nanga	(man) marry (woman)	jɛ+ɛ
9805	Penange	(man) marry (woman)	kel+de
9806	PergeTegu	(man) marry (woman)	jɛ+ɛ
9807	TebulUre	(man) marry (woman)	z+ɛ
9808	Tiranige	(man) marry (woman)	tal+a+mu
9809	TogoKan	(man) marry (woman)	ɲaŋ+a
9810	TogoKan	(man) marry (woman)	jɛ+ɛ
9811	TommoSoTongoTongo	(man) marry (woman)	yaan+a+jɛ
9812	TommoSoTongoTongo	(man) marry (woman)	ɛɛ+ⁿ
9813	ToroTegu	(man) marry (woman)	dag+a
9814	YandaDom	(man) marry (woman)	ziy+ɛ
9815	YornoSo	(man) marry (woman)	jɛ+ɛ
#
4807	BankanTey	(meal) be cooked, be done	ir+ɛ
4808	BenTey	(meal) be cooked, be done	ir+ɛ
4809	Bunoge	(meal) be cooked, be done	bil+ɛ
4810	DogulDomKundialang	(meal) be cooked, be done	il+ɛ
4811	DonnoSo	(meal) be cooked, be done	il+ɛ
4812	JamsayDouentza	(meal) be cooked, be done	ir+ɛ
4813	Mombo	(meal) be cooked, be done	wul+ɛ
4814	BonduSoNajamba	(meal) be cooked, be done	il+ɛ
4815	Nanga	(meal) be cooked, be done	ir+ɛ
4816	Penange	(meal) be cooked, be done	bɔr+ɛ
4817	PergeTegu	(meal) be cooked, be done	ir+ɛ
4818	TebulUre	(meal) be cooked, be done	il+ɛ
4819	Tiranige	(meal) be cooked, be done	il+ɔ
4820	TogoKan	(meal) be cooked, be done	ir+ɛ
4821	TommoSoTongoTongo	(meal) be cooked, be done	il+ɛ
4822	ToroTegu	(meal) be cooked, be done	irudaŋ+
