Grapheme	IPA
àwⁿ	àu.n
m:	m.m
_...-	+
n	n
a᷄:	a.á
ɛⁿ́	ɛ́.n
ɛ́́	ɛ́
N-	n
ñ	n
nⁿ	n
æ̂ⁿ	æ̂.n
ýⁿ́	j.n
^:-	NULL
^̌	NULL
-́_	+
^́	NULL
^̌_	NULL
u᷈:ⁿ	ùú.n
-́_X=	+
_:_	NULL
_ː_	NULL
â:-ⁿ	á.à.n
ɔ́́	ɔ́
ń	n
ǹ	n
Ǹ-	n
ǹ:	n.n
ɲ	ɲ
ɲ́	ɲ
ɲ̀	ɲ
ɳ	ɲ
2	NULL
-	+
̀	NULL
!	NULL
.	NULL
/	NULL
-:	+
;	NULL
?	NULL
?#	NULL
=	NULL
=:	NULL
>	NULL
∅	NULL
∴	NULL
≡	NULL
→	NULL
⇒	NULL
…	NULL
B	b
C	NULL
D	d
g#	NULL
H	h
L	l
l#	NULL
O	o
Ú	ú
V	v
X	x
=-ʸŋ	j.ŋ
Y	j
ꜜ	NULL
=∴	NULL
ŋ	ŋ
ŋ́	ŋ
ŋ̀	ŋ
ŋʷ	ŋ.w
o	o
o̯	o
ó	ó
ò	ò
ò̀	ò
ô	ô
ǒ	ǒ
ṍ	ó.n
óⁿ	ó.n
õ̀	ò.n
òⁿ	ò.n
o᷈	ò.ò
ôⁿ	ô.n
o:	o.o
ó:	ó.ó
óó	ó.ó
ò:	ò.ò
òò	ò.ò
ô:	ó.ò
óò	ó.ò
ǒ:	ò.ó
òó	ò.ó
ó:ⁿ	ó.ó.n
óóⁿ 	ó.ó.n
ò:ⁿ	ò.ò.n
òòⁿ	ò.ò.n
o᷈:	ò.ò
o᷈::	ò.ò
ô:ⁿ	ó.ò.n
óòⁿ	ó.ò.n
ǒ:ⁿ	ò.ó.n
òóⁿ	ò.ó.n
p	p
pʷ	p.w
q	q
r	r
r̀	r
rᵃ	r.a
rᵘ̀	r.ù
r.n	r.n
rⁿ	r.n
rⁿ̀	r.n
s	s
sⁿ	s.n
š	ʃ
ʃ	ʃ
t	t
c	tʃ
ć	tʃ
tʷ	t.w
u	u
ú	ú
ù	ù
û	û
ǔ	ǔ
ũ	u.n
úⁿ	ú.n
ùⁿ	ù.n
ûⁿ	û.n
ǔⁿ	ǔ.n
ù:	ù.ù
ù:ⁿ	ù.ù.n
ùù	ù.ù
ùùⁿ	ù.ù.n
ùú	ù.ú
ùúⁿ	ù.ú.n
ú:	ú.ú
ú:ⁿ	ú.ú.n
úù	ú.ù
úùⁿ	ú.ù.n
úú	ú.ú
úúⁿ	ú.ú.n
û:	ú.ù
û:ⁿ	ú.ù.n
ǔ:	ù.ú
ǔ:ⁿ	ù.ú.n
u᷈:	ù.ù.n
uⁿ	u.n
v	v
v́	v
v̀	v
ʋ	β
w	w
wᵃ	w
ẃ	w
ẁ	w
w̃	w.n
w.n	w.n
ẃ.n	ẃ.n
ẁ.n	ẁ.n
x	x
z	z
ž	ʒ
ʒ	ʒ
ʔ	ʔ
ʔⁿ	ʔ.n
_	+
{	NULL
}	NULL
`	NULL
1	NULL
3	NULL
21	NULL
752	NULL
764	NULL
3247	NULL
4378	NULL
4496	NULL
4511	NULL
˧	NULL
A	a
=+	NULL
E	e
R	r
P	p
N	n
ň	n
å	a
U	u
ɖ	ɗ
ɪ	ɪ
ᵘ	u
Â	â
ø	NULL
ő	o
@	NULL
̐	NULL
᷄	NULL
<	NULL
̪	NULL
4	NULL
7	NULL
9	NULL
0	NULL
I	i
_X_$	NULL
_X$	NULL
_$	NULL
__$	NULL
_...$	NULL
-̀$	NULL
^_	NULL
^__	NULL
^_...	NULL
^..._	NULL
^-_	NULL
^ḿ:	m.m
__	+
_..._	+
...	NULL
_X_	+
_=_	+
^X__	NULL
^X_	NULL
^X-	NULL
^-	NULL
-ⁿ_	.n
-ⁿ$	NULL
-ⁿ	.n
-_$	NULL
ɪ̌	ɪ̌
^ň:	n.n
^_k	k
-_xxx$	NULL
àⁿ	à.n
p̌y$	p.j
á́	á
ý:	j.j
_$	NULL
-$	NULL
-́_$	NULL
]	NULL
-$	NULL
nd	n.d
^nd	n.d
mb	m.b
^mb	m.b
ng	n.ɡ
ŋg	ŋ.ɡ
^ŋg	n.ɡ
^ng	n.ɡ
ɔ́́_	ɔ́
ɔ̊	ɔ
a`:	à.à
^́_k	k
^̌t	t
ê:ⁿ	é.è.n
̀_	NULL
_:$	NULL
g-́_	ɡ
ɔ̌:-́	ɔ̀.ɔ́
^:_	NULL
á́́́	á
PRON	NULL
̌_#_	+
^nɔ̌:	nɔ̀.ɔ́
)	NULL
-$	NULL
^-	NULL
∼	.n
́	NULL
̌	NULL
m̀ᵇ	m.b
ᵇ	.b
ḱ	k
y.n	j.n
