Grapheme	IPA	FREQUENCY	CODEPOINTS
ɛ̌ⁿ	ɛ̌ⁿ	3	U+025b U+030c U+207f
ǔ:ⁿ	ǔ:ⁿ	3	U+01d4 U+003a U+207f
∴	NULL	3	U+2234
és	és	3	U+00e9 U+0073
ⁿá	ⁿá	3	U+207f U+00e1
ŋw	ŋw	3	U+014b U+0077
pp	pp	3	U+0070 U+0070
\	NULL	3	U+005c
ɓ	ɓ	3	U+0253
ẁ	w	2	U+1e81
ws	ws	2	U+0077 U+0073
è:ⁿ	è:ⁿ	2	U+00e8 U+003a U+207f
âⁿ	âⁿ	2	U+00e2 U+207f
wⁿ́	wⁿ́	2	U+0077 U+207f U+0301
xxx	NULL	2	U+0078 U+0078 U+0078
ɲ̀	ɲ̀	2	U+0272 U+0300
hʷ	hʷ	2	U+0068 U+02b7
rs	rs	2	U+0072 U+0073
ê:ⁿ	ê:ⁿ	2	U+00ea U+003a U+207f
ǐⁿ	ǐⁿ	2	U+01d0 U+207f
ɔ̌ⁿ	ɔ̌ⁿ	2	U+0254 U+030c U+207f
â:s	â:s	2	U+00e2 U+003a U+0073
é:wⁿ	é:wⁿ	2	U+00e9 U+003a U+0077 U+207f
rw	rw	2	U+0072 U+0077
bb	bb	2	U+0062 U+0062
.	NULL	2	U+002e
ò:s	ò:s	2	U+00f2 U+003a U+0073
\\	NULL	2	U+005c U+005c
u	u	2	U+0075
táŋgá-m(ú)	NULL	2	U+0074 U+00e1 U+014b U+0067 U+00e1 U+002d U+006d U+0028 U+00fa U+0029
sè:-[tùŋá-ŋgó] dwɛ́	NULL	1	U+0073 U+00e8 U+003a U+002d U+005b U+0074 U+00f9 U+014b U+00e1 U+002d U+014b U+0067 U+00f3 U+005d U+0020 U+0064 U+0077 U+025b U+0301
e᷈	e᷈	1	U+0065 U+1dc8
ɛ̃́	ɛ̃́	1	U+025b U+0303 U+0301
ɛ̃̀	ɛ̃̀	1	U+025b U+0303 U+0300
[bàndè-bándè mà] ín	NULL	1	U+005b U+0062 U+00e0 U+006e U+0064 U+00e8 U+002d U+0062 U+00e1 U+006e U+0064 U+00e8 U+0020 U+006d U+00e0 U+005d U+0020 U+00ed U+006e
å	å	1	U+00e5
àss	àss	1	U+00e0 U+0073 U+0073
yⁿyⁿ	yⁿyⁿ	1	U+0079 U+207f U+0079 U+207f
jìrè-[ní-ŋgí] ní:	NULL	1	U+006a U+00ec U+0072 U+00e8 U+002d U+005b U+006e U+00ed U+002d U+014b U+0067 U+00ed U+005d U+0020 U+006e U+00ed U+003a
kán(ú)	NULL	1	U+006b U+00e1 U+006e U+0028 U+00fa U+0029
ǔw	ǔw	1	U+01d4 U+0077
p̌	p̌	1	U+0070 U+030c
sⁿ	sⁿ	1	U+0073 U+207f
iⁿ	iⁿ	1	U+0069 U+207f
ìⁿs	ìⁿs	1	U+00ec U+207f U+0073
o᷈	o᷈	1	U+006f U+1dc8
ḱ	k	1	U+1e31
ê:s	ê:s	1	U+00ea U+003a U+0073
ěs	ěs	1	U+011b U+0073
ǽ:ⁿ	ae	1	U+01fd U+003a U+207f
y:	y:	1	U+0079 U+003a
ìⁿ	ìⁿ	1	U+00ec U+207f
dʷ	dʷ	1	U+0064 U+02b7
é:ⁿs	é:ⁿs	1	U+00e9 U+003a U+207f U+0073
ǐ:w	ǐ:w	1	U+01d0 U+003a U+0077
ɔ̯	ɔ̯	1	U+0254 U+032f
ɲ́	ɲ́	1	U+0272 U+0301
ɛ᷈:ⁿ	ɛ᷈:ⁿ	1	U+025b U+1dc8 U+003a U+207f
kà:-[pàg-ú]	NULL	1	U+006b U+00e0 U+003a U+002d U+005b U+0070 U+00e0 U+0067 U+002d U+00fa U+005d
òⁿ	òⁿ	1	U+00f2 U+207f
cw	cw	1	U+0063 U+0077
êwⁿ	êwⁿ	1	U+00ea U+0077 U+207f
ʔⁿ	ʔⁿ	1	U+0294 U+207f
ʒ	ʒ	1	U+0292
ǽⁿ	ae	1	U+01fd U+207f
ɔ̀ⁿ̀	ɔ̀ⁿ̀	1	U+0254 U+0300 U+207f U+0300
r̀	r̀	1	U+0072 U+0300
ùⁿs	ùⁿs	1	U+00f9 U+207f U+0073
è:w	è:w	1	U+00e8 U+003a U+0077
ósós	ósós	1	U+00f3 U+0073 U+00f3 U+0073
[tùndú gó] gǒ:	NULL	1	U+005b U+0074 U+00f9 U+006e U+0064 U+00fa U+0020 U+0067 U+00f3 U+005d U+0020 U+0067 U+01d2 U+003a
â:wⁿ	â:wⁿ	1	U+00e2 U+003a U+0077 U+207f
2	NULL	1	U+0032
mw	mw	1	U+006d U+0077
ǎwⁿ	ǎwⁿ	1	U+01ce U+0077 U+207f
ɔ̯̀	ɔ̯̀	1	U+0254 U+032f U+0300
úꜜ	úꜜ	1	U+00fa U+a71c
ɛ:́	ɛ:́	1	U+025b U+003a U+0301
ls	ls	1	U+006c U+0073
ês	ês	1	U+00ea U+0073
ⁿ	ⁿ	1	U+207f
wⁿwⁿ	wⁿwⁿ	1	U+0077 U+207f U+0077 U+207f
tálá-m(ú)	NULL	1	U+0074 U+00e1 U+006c U+00e1 U+002d U+006d U+0028 U+00fa U+0029
éⁿ	éⁿ	1	U+00e9 U+207f
r̐	r̐	1	U+0072 U+0310
âs	âs	1	U+00e2 U+0073
[sǎⁿ káⁿ] ó	NULL	1	U+005b U+0073 U+01ce U+207f U+0020 U+006b U+00e1 U+207f U+005d U+0020 U+00f3
