ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
10540	DonnoSo	(a) bruise (from a blow)	o+mbo+gojo+ru	o + m b o + g o j o + r u	47	o + m b o + g o j o + r u
10541	JamsayDouentza	(a) bruise (from a blow)	puŋ	p u ŋ	48	p u ŋ
10542	JamsayMondoro	(a) bruise (from a blow)	puŋ	p u ŋ	48	p u ŋ
10543	Mombo	(a) bruise (from a blow)	aman+je	a m a n + j e	50	a m a n + j e
10544	BonduSoNajamba	(a) bruise (from a blow)	gugu+lulu	g u g u + l u l u	46	g u g u + l u l u
10545	Nanga	(a) bruise (from a blow)	go+ndo+go+pɛ+tɛ	g o + n d o + g o + p ɛ + t ɛ	51	g o + n d o + g o + p ɛ + t ɛ
10546	PergeTegu	(a) bruise (from a blow)	pu+ŋgu	p u + ŋ g u	44	p u + ŋ g u - -
10547	TommoSoTongoTongo	(a) bruise (from a blow)	ja+ŋgi+yi+le	j a + ŋ g i + yi + l e	53	j a + ŋ g i + yi + l e
10548	ToroTegu	(a) bruise (from a blow)	ku+ŋka	k u + ŋ k a	54	k u + ŋ k a
10549	YandaDom	(a) bruise (from a blow)	sin+zupɔ+ju	s i n + z u p ɔ + j u	55	s i n + z u p ɔ + j u
10550	YornoSo	(a) bruise (from a blow)	jarⁿiy+ⁿ	j a rⁿ iy +ⁿ	56	j a rⁿ iy +ⁿ
13080	BenTey	(a) guard, watchman	ɔrⁿɔgɔ+yⁿu+m	ɔ rⁿ ɔ g ɔ + yⁿu + m	58	ɔ rⁿ ɔ g ɔ + yⁿu + m
13081	DonnoSo	(a) guard, watchman	yalu+kadu+binɛ	ya l u + k a d u + b i n ɛ	59	ya l u + k a d u + b i n ɛ
13082	JamsayDouentza	(a) guard, watchman	diiⁿti+gen	d iiⁿ t i + g e n	60	d iiⁿ t i + g e n
13083	Mombo	(a) guard, watchman	nɔd+yanɔ+di	n ɔ d + ya n ɔ + d i	61	n ɔ d + ya n ɔ + d i
13084	Nanga	(a) guard, watchman	gɔyⁿ+gɔy+ⁿ	g ɔyⁿ + g ɔy +ⁿ	62	g ɔyⁿ + g ɔy +ⁿ
13085	Tiranige	(a) guard, watchman	doo+ŋge	d oo + ŋ g e	63	d oo + ŋ g e
13086	TogoKan	(a) guard, watchman	ɲaka+juwa	ɲ a k a + j u w a	64	ɲ a k a + j u w a
13087	TommoSoTongoTongo	(a) guard, watchman	ndɛdo+mmu+dɔm+minɛ	n d ɛ d o + mm u + d ɔ m + m i n ɛ	65	n d ɛ d o + mm u + d ɔ m + m i n ɛ
13088	ToroTegu	(a) guard, watchman	metu+metu+nu	m e t u + m e t u + n u	66	m e t u + m e t u + n u
13089	YandaDom	(a) guard, watchman	dɔ+mu	d ɔ + m u	67	d ɔ + m u
9780	BenTey	(a) sacrifice (e.g. a slaughtered animal)	sadi+ga	s a d i + g a	69	s a d i + g a
9781	DogulDomBendiely	(a) sacrifice (e.g. a slaughtered animal)	sara+ga	s a r a + g a	69	s a r a + g a
9782	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sala+mbɔ	s a l a + m b ɔ	70	s a l a + m b ɔ
9783	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sar+ga	s a r + g a	69	s a r - + g a
9784	JamsayDouentza	(a) sacrifice (e.g. a slaughtered animal)	sada+ka	s a d a + k a	69	s a d a + k a
9785	Mombo	(a) sacrifice (e.g. a slaughtered animal)	sara+ga	s a r a + g a	69	s a r a + g a
9786	Nanga	(a) sacrifice (e.g. a slaughtered animal)	sari+ga	s a r i + g a	69	s a r i + g a
9787	Tiranige	(a) sacrifice (e.g. a slaughtered animal)	sala+mpɔ	s a l a + m p ɔ	70	s a l a + m p ɔ
9788	TogoKan	(a) sacrifice (e.g. a slaughtered animal)	saru+ga	s a r u + g a	69	s a r u + g a
9789	TommoSoTongoTongo	(a) sacrifice (e.g. a slaughtered animal)	sala+mbɔ	s a l a + m b ɔ	70	s a l a + m b ɔ
9790	ToroTegu	(a) sacrifice (e.g. a slaughtered animal)	sada+ka	s a d a + k a	69	s a d a + k a
9791	YandaDom	(a) sacrifice (e.g. a slaughtered animal)	sala+mbɔ	s a l a + m b ɔ	70	s a l a + m b ɔ
12222	BenTey	(a) shop, store	bidi+gi	b i d i + g i	75	b i d i + g i
12223	Bunoge	(a) shop, store	biti+gi	b i t i + g i	75	b i t i + g i
12224	DonnoSo	(a) shop, store	budi+gu	b u d i + g u	75	b u d i + g u
12225	JamsayDouentza	(a) shop, store	bidi+gu	b i d i + g u	75	b i d i + g u
12226	Mombo	(a) shop, store	biri+gi	b i r i + g i	75	b i r i + g i
12227	Nanga	(a) shop, store	biti+ki	b i t i + k i	75	b i t i + k i
12228	Penange	(a) shop, store	bir+gi	b i r + g i	75	b i r - + g i
12229	Tiranige	(a) shop, store	bidi+gi	b i d i + g i	75	b i d i + g i
