# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA
13434	BonduSoNajamba	(dog) howl, bay (verb only)	ìnìy+è
13435	Nanga	(dog) howl, bay (verb only)	gúnd+ó
13436	PergeTegu	(dog) howl, bay (verb only)	bòòl+ó
13437	TommoSoTongoTongo	(dog) howl, bay (verb only)	kóód+ó
13438	YandaDom	(dog) howl, bay (verb only)	kód+ó
13439	YornoSo	(dog) howl, bay (verb only)	pí+í
#
15158	Ampari	(e.g. bird) fly	kìr+ì+yé
15159	BankanTey	(e.g. bird) fly	kís+í+yé
15160	BenTey	(e.g. bird) fly	kís+í+yé
15161	Bunoge	(e.g. bird) fly	píl+lè
15162	DonnoSo	(e.g. bird) fly	kílè+è
15163	JamsayGourou	(e.g. bird) fly	pír+é
15164	JamsayDouentza	(e.g. bird) fly	cír+é
15165	Mombo	(e.g. bird) fly	píl+yé+è
15166	BonduSoNajamba	(e.g. bird) fly	pìr+ì+yè
15167	BonduSoNajamba	(e.g. bird) fly	pìl+ì+yè
15168	Nanga	(e.g. bird) fly	kís+í+yé
15169	Penange	(e.g. bird) fly	pír+í+gè
15170	PergeTegu	(e.g. bird) fly	kír+í+yé
15171	TebulUre	(e.g. bird) fly	cíl+lí+í
15172	Tiranige	(e.g. bird) fly	píl+í+yó
15173	TogoKan	(e.g. bird) fly	kìr+í+kír+ì+ì
15174	TommoSoTongoTongo	(e.g. bird) fly	kííl+í+yé
15175	ToroTegu	(e.g. bird) fly	cír+ó
15176	YandaDom	(e.g. bird) fly	kíl+í+yé
15177	YornoSo	(e.g. bird) fly	kílɛ́+ɛ́
#
15339	BankanTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	táán+í+gǎŋ
15340	BenTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùs+ó
15341	JamsayDouentza	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùj+ó
15342	JamsayMondoro	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	tóŋ+ó+kún+ó
15343	Mombo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	táŋg+ám+ì
15344	BonduSoNajamba	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	símb+ír+ɛ́gǎn
15345	Nanga	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùs+ó
15346	PergeTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	sús+ú+ró
15347	PergeTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùs+ó
15348	TogoKan	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùj+ó
15349	TommoSoTongoTongo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	táŋ+ú+nd+á
15350	ToroTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	tóŋg+úr+ó
15351	YandaDom	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùz+ó+kúnd+ó
15352	YornoSo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùj+ó
#
13732	BankanTey	(e.g. fallen tree) impede, block the passage of (sb)	pál+à+káŋ
13733	BenTey	(e.g. fallen tree) impede, block the passage of (sb)	pál+ɛ́
13734	BenTey	(e.g. fallen tree) impede, block the passage of (sb)	fál+ɛ́
13735	DonnoSo	(e.g. fallen tree) impede, block the passage of (sb)	páŋɛ̀+ɛ̀
13736	JamsayDouentza	(e.g. fallen tree) impede, block the passage of (sb)	pál+á
13737	Mombo	(e.g. fallen tree) impede, block the passage of (sb)	pár+ì+kán+í
13738	BonduSoNajamba	(e.g. fallen tree) impede, block the passage of (sb)	pál+ɛ́
13739	BonduSoNajamba	(e.g. fallen tree) impede, block the passage of (sb)	fál+ɛ́
13740	BonduSoNajamba	(e.g. fallen tree) impede, block the passage of (sb)	tínd+í
13741	Nanga	(e.g. fallen tree) impede, block the passage of (sb)	kál+é
13742	Nanga	(e.g. fallen tree) impede, block the passage of (sb)	pál+ɛ́
13743	PergeTegu	(e.g. fallen tree) impede, block the passage of (sb)	pál+ɛ́
13744	TogoKan	(e.g. fallen tree) impede, block the passage of (sb)	dùŋ+ó
13745	TommoSoTongoTongo	(e.g. fallen tree) impede, block the passage of (sb)	tínd+íy+é
13746	ToroTegu	(e.g. fallen tree) impede, block the passage of (sb)	kárⁿ+á
13747	YandaDom	(e.g. fallen tree) impede, block the passage of (sb)	íb+é
13748	YornoSo	(e.g. fallen tree) impede, block the passage of (sb)	tí+íⁿ
#
9332	BankanTey	(e.g. host) act as guide for (a visitor)	dàb+í
9333	BenTey	(e.g. host) act as guide for (a visitor)	dìm+dí
9334	DogulDomBendiely	(e.g. host) act as guide for (a visitor)	pɔ̀l+ɛ́
9335	JamsayDouentza	(e.g. host) act as guide for (a visitor)	dìm+né
9336	JamsayDouentza	(e.g. host) act as guide for (a visitor)	dìm+nɛ́
9337	BonduSoNajamba	(e.g. host) act as guide for (a visitor)	tɛ́r+í+yɛ́
9338	Nanga	(e.g. host) act as guide for (a visitor)	tér+í+yé
9339	PergeTegu	(e.g. host) act as guide for (a visitor)	dìm+dɛ́
9340	TommoSoTongoTongo	(e.g. host) act as guide for (a visitor)	téér+í+yé
9341	ToroTegu	(e.g. host) act as guide for (a visitor)	bàr+á
9342	YornoSo	(e.g. host) act as guide for (a visitor)	dìm+ɛ́+rɛ́
#
16850	BankanTey	(e.g. metallic surface) shine, be shiny	tál+í
16851	BenTey	(e.g. metallic surface) shine, be shiny	cɛ́rⁿíyⁿ+í
16852	BenTey	(e.g. metallic surface) shine, be shiny	kɛ́rⁿíyⁿ+í
16853	DonnoSo	(e.g. metallic surface) shine, be shiny	dèl+é
16854	JamsayGourou	(e.g. metallic surface) shine, be shiny	dòòr+ó
16855	JamsayDouentza	(e.g. metallic surface) shine, be shiny	áárⁿ+á
16856	JamsayDouentza	(e.g. metallic surface) shine, be shiny	dòòr+ó
16857	JamsayDouentza	(e.g. metallic surface) shine, be shiny	káŋ+á+rⁿ+á
16858	Mombo	(e.g. metallic surface) shine, be shiny	táy+é+rè
16859	BonduSoNajamba	(e.g. metallic surface) shine, be shiny	jáár+í+yɛ́
16860	Nanga	(e.g. metallic surface) shine, be shiny	ɛ́sɛ́
16861	PergeTegu	(e.g. metallic surface) shine, be shiny	kárⁿíyⁿ+ɛ́
16862	TogoKan	(e.g. metallic surface) shine, be shiny	dòór+ì
16863	TommoSoTongoTongo	(e.g. metallic surface) shine, be shiny	jàínd+ɛ́
16864	ToroTegu	(e.g. metallic surface) shine, be shiny	tél+ó
16865	YandaDom	(e.g. metallic surface) shine, be shiny	záy+nd+ɛ́
16866	YornoSo	(e.g. metallic surface) shine, be shiny	dòór+ó
#
15311	BankanTey	(e.g. stick) be dropped (by sb)	yàás+í+yé
15312	BenTey	(e.g. stick) be dropped (by sb)	yàɣ+á
15313	JamsayDouentza	(e.g. stick) be dropped (by sb)	bàɣ+á
15314	Mombo	(e.g. stick) be dropped (by sb)	dɔ́mb+úl+ɛ̀
15315	BonduSoNajamba	(e.g. stick) be dropped (by sb)	pór+dɛ̀ŋ+ɛ́
15316	Nanga	(e.g. stick) be dropped (by sb)	yɛ̀g+ɛ́
15317	PergeTegu	(e.g. stick) be dropped (by sb)	bàg+á
15318	TommoSoTongoTongo	(e.g. stick) be dropped (by sb)	ɛ́ll+í+yɛ́
15319	ToroTegu	(e.g. stick) be dropped (by sb)	lùw+ó
15320	YornoSo	(e.g. stick) be dropped (by sb)	bàg+á
#
